"Product ID","SKU","Product Name","Price","Original Price","Brand Name","Discount","Thumbnail URL","Short Description","Images","Colors","Size","Rating Average","Review Count","Discount Rate","Quantity Sold","URL Key","URL Path","Short URL","Type","CreateTime"
"100771285","1604333248318","Giày Lười Nam Da Thật Có Video Đế Khâu Mã SL01","780000.0","780000.0","Bảo Hân SINCE 2016","0.0","https://salt.tikicdn.com/cache/280x280/ts/product/63/72/a6/155453bcc0191d0579edc88deea2fda0.jpg","       Giày Lười Nam Mã D08:   Khách hàng có thể đổi size nếu không vừa hoặc hoàn hàng nếu không ưng.   KIỂU DÁNG: Sản phẩm thiết kế đơn giản, lịch lãm, không cầu kỳ, dễ dàng kết hợp với trang p...","https://salt.tikicdn.com/cache/w1200/ts/product/63/72/a6/155453bcc0191d0579edc88deea2fda0.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/6c/6e/21/d7851850032e1cbfc89748d5f5ef0b17.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/69/e4/f7/9b91b14a3da3d9378d8f6e2627f7b4f2.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/b2/a7/ab/98d29e0a5f7f6913ab922f1b063a5190.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/8d/17/11/222499ca5f685c352b1328e576726352.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/73/66/0b/5461d1ae1f98eb74e58879f06ff1bf76.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/db/78/ec/2aa5c0221287f6fb1b2b55b632a62f24.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/38/98/73/4a1042080c8113c40e08fef96e0d9bb9.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/ae/a7/f5/4153b54ee76fe385baed7dd3cb4c590f.jpg","nâu;đen","","5.0","5","0","18","giay-luoi-nam-da-that-co-video-de-khau-ma-sl01-p100771285","giay-luoi-nam-da-that-co-video-de-khau-ma-sl01-p100771285.html?spid=100771295","https://tiki.vn/product-p100771285.html?spid=100771295","configurable","2024-12-01T18:05:08.995177600"
"55085257","5913884221483","Giày sandal nam Trường Hải da bò thật mềm mại màu nâu đế PU nhẹ nhàng không trơn hình ảnh thật SD0474","319000.0","319000.0","Trường Hải","0.0","https://salt.tikicdn.com/cache/280x280/ts/product/4f/2f/d5/8906559ba64b9f3879d505596f5aa929.jpg","Giày sandal được làm bằng da bò cao cấp không bong tróc, càng đi lớp da càng mềm mại hạn chế tối đa tình trạng trầy xước khi va chạmĐế dép được làm bằng PU siêu nhẹ chẳng những êm ái mang lại sự thoải...","https://salt.tikicdn.com/cache/w1200/ts/product/4f/2f/d5/8906559ba64b9f3879d505596f5aa929.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/1e/c6/a2/03c730c6724ed1f5d7fae70619d5e5eb.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/ff/3e/2c/630d83ddf3c3b27f4bfa234b5089639c.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/c0/a2/f3/9d109da07da09f9d9bf444be22cddf4a.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/7a/5c/e6/ca1063a103aba164b56a521fc1a38c24.jpg","","","4.7","15","0","31","giay-sandal-nam-truong-hai-da-bo-that-mem-mai-mau-nau-de-pu-nhe-nhang-khong-tron-hinh-anh-that-sd0474-p55085257","giay-sandal-nam-truong-hai-da-bo-that-mem-mai-mau-nau-de-pu-nhe-nhang-khong-tron-hinh-anh-that-sd0474-p55085257.html?spid=55085269","https://tiki.vn/product-p55085257.html?spid=55085269","configurable","2024-12-01T18:05:13.661894800"
"174468189","4020934088016","Giày Nam Pierre Cardin Horsebit Loafer - PCMFWLF 517","1190000.0","2990000.0","Pierre Cardin","1800000.0","https://salt.tikicdn.com/cache/280x280/ts/product/65/cd/5b/c3373f01fac87c3bb0f7a18d3ee7e1a0.jpg","Sản phẩm: Giày Nam Pierre Cardin Horsebit Loafer - PCMFWLF 517Giày nam Pierre Cardin PCMFWLF 517 được sản xuất từ 100% da thật nhập khẩu với kiểu thiết kế giày không dây giúp cho trang phục của bạn th...","https://salt.tikicdn.com/cache/w1200/ts/product/65/cd/5b/c3373f01fac87c3bb0f7a18d3ee7e1a0.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/0e/e1/9d/4b1fdd069f332362295350ad5e620e5b.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/e7/5e/02/16054ae82617ba5d02f34a9cfb68c0cf.jpg","","39;40;41;42;43","5.0","27","60","68","giay-nam-pierre-cardin-horsebit-loafer-pcmfwlf-517-p174468189","giay-nam-pierre-cardin-horsebit-loafer-pcmfwlf-517-p174468189.html?spid=174468199","https://tiki.vn/product-p174468189.html?spid=174468199","configurable","2024-12-01T18:05:19.274444300"
"141740940","4810869373826","Dép Sục Sapo Nam Da Bò SUNPOLO SUT322 (Đen, Nâu)","490000.0","490000.0","SUNPOLO","0.0","https://salt.tikicdn.com/cache/280x280/ts/product/0b/ab/91/4f393d29c61ebf239061064abf15bfaf.jpg","Dép Sapo Bít Mũi Nam Da Bò SUNPOLO SUT322 được thiết kế đơn giản nhưng tinh tế và đẹp mắt giúp phái mạnh nổi bật và tự tin. Giày được làm từ chất liệu da bò cao cấp mang đến cho người sử dụng cảm giá...","https://salt.tikicdn.com/cache/w1200/ts/product/0b/ab/91/4f393d29c61ebf239061064abf15bfaf.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/c6/ae/ff/ee6080bf12b92c9b101c23c330a28d59.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/80/59/fb/7df780045dff5928d0796b8b351b1a05.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/a8/20/52/b027c64eb3465c6fd9fed5ede56edaf2.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/4a/34/75/3a748fcc31374dcea9cc4c467c1fccad.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/f2/e7/4d/c31a275495c4df2dd110946f6c70076b.jpg","","","5.0","1","0","4","dep-suc-sapo-nam-da-bo-sunpolo-sut322-den-nau-p141740940","dep-suc-sapo-nam-da-bo-sunpolo-sut322-den-nau-p141740940.html?spid=141740947","https://tiki.vn/product-p141740940.html?spid=141740947","configurable","2024-12-01T18:05:23.874669400"
"48491216","9255325868441","Chai Xịt Chống Thấm Nano Crep Protect Spay 200ml","450000.0","450000.0","Crep Protect","0.0","https://salt.tikicdn.com/cache/280x280/ts/product/eb/f2/c6/59e9ade37289de3094dc1f4d6d9f7c92.jpg","Sản phẩm có trọng lượng: 200g. Chiều cao: 17cm. Chiều rộng: 5cm. Dung tích: 200ml. Sử dụng khí nén. Để sử dụng Crep Protect Spray hiệu quả một cách tốt nhất chúng ta làm những bước sau đây:- Đầu...","https://salt.tikicdn.com/cache/w1200/ts/product/eb/f2/c6/59e9ade37289de3094dc1f4d6d9f7c92.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/01/70/26/f591b9bbb5b67e09e9610be35a94d468.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/16/62/c4/45445fe72d025b09a0ac190484276e7c.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/a5/13/47/838c18758a1afe049b68cca4c34e664e.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/1c/3e/2e/9d697aba73d264a5a9962bd6001ea7a4.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/e7/83/41/66f6ce34b3d36dab97caa0851608d24a.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/d6/75/2b/b05b936f59076e0c64656185e5339a89.jpg","","","4.6","20","0","82","chai-xit-chong-tham-nano-crep-protect-spay-200ml-p48491216","chai-xit-chong-tham-nano-crep-protect-spay-200ml-p48491216.html?spid=48491217","https://tiki.vn/product-p48491216.html?spid=48491217","simple","2024-12-01T18:05:28.843851900"
"7977187","4600885580862","Giày Mọi Nam Da Bò Sunpolo SUS501N - Nâu","650000.0","650000.0","SUNPOLO","0.0","https://salt.tikicdn.com/cache/280x280/ts/product/5e/39/db/9761bc81263766cec90bf1b69d029b4b.jpg","Giày Mọi Nam Da Bò Sunpolo SUS501N - Nâu được may từ chất liệu da bò cao cấp mềm mịn, bền đẹp.Đế cao su rãnh chống trơn trượt hiệu quả.Thiết kế đơn giản, khỏe khoắn, đường may tỉ mỉ, thoải mái khi ...","https://salt.tikicdn.com/cache/w1200/ts/product/5e/39/db/9761bc81263766cec90bf1b69d029b4b.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/0e/10/59/84614d9987a6c372c5c413b5f4fb33c0.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/92/41/ed/b6fb4b61b6ee5cffa384caf9092dd8ce.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/ee/74/55/9d64682093709e4f368af08068682d94.jpg","","","5.0","1","0","5","giay-moi-nam-da-bo-sunpolo-sus501n-nau-p7977187","giay-moi-nam-da-bo-sunpolo-sus501n-nau-p7977187.html?spid=7986014","https://tiki.vn/product-p7977187.html?spid=7986014","configurable","2024-12-01T18:05:33.638275900"
"170728589","2836489190446","Chai Xịt Tạo Bọt Vệ Sinh Giày XIMO Cao Cấp 300ml tiêu diệt mọi vết bẩn","60000.0","60000.0","Ximo","0.0","https://salt.tikicdn.com/cache/280x280/ts/product/19/61/9a/4a9ae76dc22c9962f2a658ba1635d84e.jpg","  Vệ sinh, làm sạch cho giày luôn là điều khó khăn với mọi người. Bởi vậy, thương hiệu XIMO đem đến cho mọi người Chai Xịt Tạo Bọt Vệ Sinh Giày XIMO Cao Cấp. Khác với những chất tẩy rửa phổ biến mà c...","https://salt.tikicdn.com/cache/w1200/ts/product/19/61/9a/4a9ae76dc22c9962f2a658ba1635d84e.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/46/31/ee/e8183a658268dfb38c71cc8a475a5cf5.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/65/86/fa/87063b5e82f46cccadc1227a18e5b37f.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/78/81/78/fa5bb4256f794e60a0ce81345c9aab7f.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/87/24/65/0e3c10a2cf9e3768a4867241b946a026.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/8e/2c/d7/224fdbcc2ade4ff318fe8db83e76d449.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/b0/ff/68/fb025775b9e17f113485a95d576ebc17.jpg","","","0.0","0","0","7","chai-xit-tao-bot-ve-sinh-giay-ximo-cao-cap-300ml-tieu-diet-moi-vet-ban-p170728589","chai-xit-tao-bot-ve-sinh-giay-ximo-cao-cap-300ml-tieu-diet-moi-vet-ban-p170728589.html?spid=252868905","https://tiki.vn/product-p170728589.html?spid=252868905","configurable","2024-12-01T18:05:37.185490100"
"55747001","9256148835306","Giày tây nam Trường Hải da bò thật mềm mại không bong tróc không dây mũi tròn màu nâu đế cao su không trơn GT0423","485000.0","485000.0","Trường Hải","0.0","https://salt.tikicdn.com/cache/280x280/ts/product/9e/4a/95/ec67248fb71ab2557a97fe6102932435.jpg","THÔNG TIN CHI TIẾT SẢN PHẨM:Xuất xứ: Việt NamChất liệu quai : da bò thật Chất liệu đế: cao su Size: 38-39-40-41-42-43Chiều cao đế: 3cm Màu : NâuMàu sắc như hìnhHình ảnh thậtGiày tây nam được ...","https://salt.tikicdn.com/cache/w1200/ts/product/9e/4a/95/ec67248fb71ab2557a97fe6102932435.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/26/bb/8d/fc9e979e6372f30a34851d360025a4a4.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/25/23/7e/5541d2dbef46536cc4f94352e7d0d735.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/ad/99/eb/3d48424b61be7d1177bf0be891370ea6.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/3a/d9/48/88e5f7237b398d81268b69a72cbddbeb.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/38/b5/84/746cbaae0f45ce1e2e543194d2ec5dee.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/d1/9c/1e/c6c77556c30c384a4088a27d20634a0e.jpg","","","5.0","15","0","40","giay-tay-nam-truong-hai-da-bo-that-mem-mai-khong-bong-troc-khong-day-mui-tron-mau-nau-de-cao-su-khong-tron-gt0423-p55747001","giay-tay-nam-truong-hai-da-bo-that-mem-mai-khong-bong-troc-khong-day-mui-tron-mau-nau-de-cao-su-khong-tron-gt0423-p55747001.html?spid=55747011","https://tiki.vn/product-p55747001.html?spid=55747011","configurable","2024-12-01T18:05:41.473548600"
"273896651","7325877661670","Giày Thể Thao Nam Biti's BSM000900DEN (Đen)","677000.0","751000.0","Biti's","74000.0","https://salt.tikicdn.com/cache/280x280/ts/product/2e/ea/b5/ba75defbe64b0431757a4f74e775ae1e.jpg","Giày Thể Thao Nam BSM000900 sở hữu thiết kế tuy đơn giản nhưng lại rất đặc biệt. Điều này thể hiện qua bảng màu đen, đi nét cam táo báo; cũng như form ôm trọn bàn chân quen thuộc với đầu mũi giày tròn...","https://salt.tikicdn.com/cache/w1200/ts/product/2e/ea/b5/ba75defbe64b0431757a4f74e775ae1e.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/90/34/77/5d23588b804b7c711b051c1192e5fba5.JPG;https://salt.tikicdn.com/cache/w1200/ts/product/03/ed/fd/ab1079ffc94357cc0778cb7817c88258.JPG;https://salt.tikicdn.com/cache/w1200/ts/product/65/d5/ba/a156c446cf615e4a3e502ff956a4178a.JPG;https://salt.tikicdn.com/cache/w1200/ts/product/ed/c9/34/a818687a8159ce0dbcfb67bfee70ffdb.JPG;https://salt.tikicdn.com/cache/w1200/ts/product/4b/df/0e/2065759dc100b5fe53b670ec8cbd3140.JPG;https://salt.tikicdn.com/cache/w1200/ts/product/4e/eb/87/cf52b3f0c9bd54c6e7239fb015602a0f.JPG;https://salt.tikicdn.com/cache/w1200/ts/product/91/24/c3/78a5d20aebcc043796928537e57420a8.JPG;https://salt.tikicdn.com/cache/w1200/ts/product/c2/9f/e3/d35dacbc4bff7ae64c1c3736ad8145c5.JPG","","","4.0","1","10","10","giay-the-thao-nam-biti-s-bsm000900den-den-p273896651","giay-the-thao-nam-biti-s-bsm000900den-den-p273896651.html?spid=273896657","https://tiki.vn/product-p273896651.html?spid=273896657","configurable","2024-12-01T18:05:45.923849900"
"273846963","2617678375268","Giày thời trang nam NIKE FULL FORCE LO","2748100.0","2748100.0","Nike","0.0","https://salt.tikicdn.com/cache/280x280/ts/product/c3/16/f9/ec49da947f055e3dc6a39ac7b958cfe4.jpg","Giày thời trang nam NIKE NIKE FULL FORCE LONike là nhà cung cấp toàn cầu về giày, quần áo và dụng cụ thể thao số một thế giới. Được thành lập vào ngày 25 tháng 1 năm 1964 với tên Blue Ribbon Sports b...","https://salt.tikicdn.com/cache/w1200/ts/product/c3/16/f9/ec49da947f055e3dc6a39ac7b958cfe4.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/00/ec/3a/21379ed0fec647f7a4d864ba83f5ac5e.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/44/ca/d1/013078e4d45d0dfb900ef2affb9e6fa6.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/0e/c5/53/5d25a73c6d9e0714c20f1ee158803aab.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/fa/6c/e1/4c5a234139ab40314e63e1fc65003dcf.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/49/9b/c2/1764901853376b745eb65e246c0a403c.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/ce/dc/f7/48cb56e463faca144b28c239cbee8929.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/fd/60/69/1a53211dc3dadff9bbf51d2747dd61b0.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/a0/0b/5a/49a215977a876e0c4425ebae5617b57c.jpg;https://salt.tikicdn.com/cache/w1200/ts/product/55/11/4d/0365ea0a275515d85375ce6c9681ad89.jpg","white/mystic red-black-sail;white/polar-black-sail","7.5 US","5.0","6","0","21","giay-thoi-trang-nam-nike-nike-full-force-lo-p273846963","giay-thoi-trang-nam-nike-nike-full-force-lo-p273846963.html?spid=273847021","https://tiki.vn/product-p273846963.html?spid=273847021","configurable","2024-12-01T18:05:49.787891900"
